Number of threads is 25.
generating random projection
output path ../h5_projected/g1040_0016_binary_search_10000_ran is not exist, create output path.
Reading data from ../h5_max_contour/g1040_0016_binary_search.h5
Finish reading data
rank  0, cnt =    1
rank  2, cnt =    1
rank  3, cnt =    1
rank  5, cnt =    1
rank  6, cnt =    1
rank  7, cnt =    1
rank  8, cnt =    1
rank 10, cnt =    1
rank 11, cnt =    1
rank 12, cnt =    1
rank 14, cnt =    1
rank 15, cnt =    1
rank 16, cnt =    1
rank 17, cnt =    1
rank 18, cnt =    1
rank 19, cnt =    1
rank 20, cnt =    1
rank 21, cnt =    1
rank 22, cnt =    1
rank 23, cnt =    1
rank 24, cnt =    1
rank  1, cnt =    1
rank  4, cnt =    1
rank  9, cnt =    1
rank 13, cnt =    1
rank  5, cnt =    2
rank 14, cnt =    2
rank  2, cnt =    2
rank  6, cnt =    2
rank 21, cnt =    2
rank 10, cnt =    2
rank 11, cnt =    2
rank 19, cnt =    2
rank  4, cnt =    2
rank  9, cnt =    2
rank 24, cnt =    2
rank 23, cnt =    2
rank 13, cnt =    2
rank  8, cnt =    2
rank 15, cnt =    2
rank 12, cnt =    2
rank  3, cnt =    2
rank 22, cnt =    2
rank 16, cnt =    2
rank 18, cnt =    2
rank  0, cnt =    2
rank  1, cnt =    2
rank  7, cnt =    2
rank 17, cnt =    2
rank 20, cnt =    2
rank 14, cnt =    3
rank  2, cnt =    3
rank  5, cnt =    3
rank 19, cnt =    3
rank 21, cnt =    3
rank  6, cnt =    3
rank 10, cnt =    3
rank 24, cnt =    3
rank  4, cnt =    3
rank 11, cnt =    3
rank 13, cnt =    3
rank 22, cnt =    3
rank 23, cnt =    3
rank 12, cnt =    3
rank  9, cnt =    3
rank  8, cnt =    3
rank  1, cnt =    3
rank  7, cnt =    3
rank  0, cnt =    3
rank  3, cnt =    3
rank 15, cnt =    3
rank 18, cnt =    3
rank 16, cnt =    3
rank 20, cnt =    3
rank 17, cnt =    3
rank 14, cnt =    4
rank  5, cnt =    4
rank 24, cnt =    4
rank 19, cnt =    4
rank 10, cnt =    4
rank 21, cnt =    4
rank  4, cnt =    4
rank 13, cnt =    4
rank 11, cnt =    4
rank  6, cnt =    4
rank 12, cnt =    4
rank  9, cnt =    4
rank  2, cnt =    4
rank 23, cnt =    4
rank  8, cnt =    4
rank  0, cnt =    4
rank 22, cnt =    4
rank  1, cnt =    4
rank  3, cnt =    4
rank  7, cnt =    4
rank 20, cnt =    4
rank 15, cnt =    4
rank 18, cnt =    4
rank 16, cnt =    4
rank 14, cnt =    5
rank 10, cnt =    5
rank  5, cnt =    5
rank 17, cnt =    4
rank 19, cnt =    5
rank 24, cnt =    5
rank  4, cnt =    5
rank 21, cnt =    5
rank 13, cnt =    5
rank  9, cnt =    5
rank 23, cnt =    5
rank  6, cnt =    5
rank  8, cnt =    5
rank 12, cnt =    5
rank 11, cnt =    5
rank  2, cnt =    5
rank  0, cnt =    5
rank  1, cnt =    5
rank  3, cnt =    5
rank 22, cnt =    5
rank 20, cnt =    5
rank 15, cnt =    5
rank  7, cnt =    5
rank 10, cnt =    6
rank  5, cnt =    6
rank  4, cnt =    6
rank 19, cnt =    6
rank 24, cnt =    6
rank  8, cnt =    6
