cloud_name	cloud_dir	b_dir_planck	b_dir_optical	mcf_slope	sfr_4	sfr_3
Lupus-1	-1	86	-82	0.188	4	0.63
Cha-I-III	22	-76		0.165		1.03
Pipe	-45	59	49	0.165	2.81	
IC5146	-38	67	64	0.231		0.38
Taurus	75	1	0	0.176	4.76	0.14
Musca	27	-82		0.195		0.9
Perseus	32	-84	59	0.206	7.98	1.46
Orion B	-30	-87	7	0.132	2.19	
Orion A	83	59	7	0.159	5.21	
Ophiuchus	-45	-81	-65	0.096	6.1	2.32
Lupus-II-VI	-73	82	81	0.17	6.97	1.85
Aquila	-75	-67	-45	0.103		1.48
CrA	-26	-26	-27	0.131	9.69	3.66
Cepheus	65	-89	69			1.13
Chamaelon	19		-71	0.165		1.03
Orion	90		1		4.17	
